ID,Branch,City,Customer type,Productline,Unit_Price,Sales price,Quantity,TAX 5%,Total,Date,Time,Payment,cogs,Profit,Net of Tax profit,Gross Profit %,gross margin percentage,perc,Country,Hours,Age,Rating
765-26-6951,A,Yangon,Normal,Food and beverages,66.0751,72.61,6,21.783,457.443,J,10:39,Credit card,396.4506,39.2094,17.4264,10%,1.15,47.00%,United Kingdom,noun,54,7
329-62-1586,A,Yangon,Normal,Food and beverages,54.1233,54.67,3,8.2005,172.2105,D,18:00,Credit card,162.3699,1.6401,-6.5604,1%,1.06,45.00%,United Kingdom,noun,40,9
319-50-3348,B,Mandalay,Normal,Home and lifestyle,35.061,40.3,2,4.03,84.63,N,15:30,Ewallet,70.122,10.478,6.448,15%,1.21,25.00%,United Kingdom,noun,42,4
300-71-4605,C,Naypyitaw,Member,Electronic accessories,61.9488,86.04,5,21.51,451.71,D,11:24,Ewallet,309.744,120.456,98.946,39%,1.46,43.00%,United Kingdom,noun,75,5
371-85-5789,B,Mandalay,Normal,Health and beauty,42.2304,87.98,3,13.197,277.137,M,10:40,Ewallet,126.6912,137.2488,124.0518,108%,2.19,1.00%,United Kingdom,noun,51,5
273-16-6619,B,Mandalay,Normal,Home and lifestyle,29.548,33.2,2,3.32,69.72,D,12:20,Credit card,59.096,7.304,3.984,12%,1.18,21.00%,United Kingdom,noun,85,4
636-48-8204,A,Yangon,Normal,Electronic accessories,26.9568,34.56,5,8.64,181.44,D,11:15,Ewallet,134.784,38.016,29.376,28%,1.35,4.00%,United Kingdom,noun,52,10
549-59-1358,A,Yangon,Member,Food and beverages,80.6533,88.63,3,13.2945,279.1845,F,17:36,Ewallet,241.9599,23.9301,10.6356,10%,1.15,10.00%,United Kingdom,noun,29,6
227-03-5010,A,Yangon,Member,Home and lifestyle,39.9684,52.59,8,21.036,441.756,D,19:20,Credit card,319.7472,100.9728,79.9368,32%,1.38,-2.00%,United Kingdom,noun,42,9
649-29-6775,B,Mandalay,Normal,Fashion accessories,17.0952,33.52,1,1.676,35.196,A,15:31,Cash,17.0952,16.4248,14.7488,96%,2.06,45.00%,France,noun,26,7
189-17-4241,A,Yangon,Normal,Fashion accessories,45.5884,87.67,2,8.767,184.107,O,12:17,Credit card,91.1768,84.1632,75.3962,92%,2.02,26.00%,France,noun,28,8
145-94-9061,B,Mandalay,Normal,Food and beverages,76.8732,88.36,5,22.09,463.89,D,19:48,Cash,384.366,57.434,35.344,15%,1.21,3.00%,France,morning,31,10
848-62-7243,A,Yangon,Normal,Health and beauty,16.9252,24.89,9,11.2005,235.2105,D,15:36,Cash,152.3268,71.6832,60.4827,47%,1.54,9.00%,France,morning,42,7
871-79-8483,B,Mandalay,Normal,Fashion accessories,52.7128,94.13,5,23.5325,494.1825,D,19:39,Credit card,263.564,207.086,183.5535,79%,1.88,34.00%,France,morning,79,5
149-71-6266,B,Mandalay,Member,Food and beverages,71.0437,78.07,9,35.1315,737.7615,D,12:43,Cash,639.3933,63.2367,28.1052,10%,1.15,16.00%,France,morning,62,5
640-49-2076,B,Mandalay,Normal,Food and beverages,76.2398,83.78,8,33.512,703.752,O,14:49,Cash,609.9184,60.3216,26.8096,10%,1.15,23.00%,France,morning,48,5
595-11-5460,A,Yangon,Normal,Health and beauty,54.0848,96.58,2,9.658,202.818,D,10:12,Credit card,108.1696,84.9904,75.3324,79%,1.88,43.00%,France,morning,48,5
183-56-6882,C,Naypyitaw,Member,Food and beverages,97.4316,99.42,4,19.884,417.564,J,10:42,Ewallet,389.7264,7.9536,-11.9304,2%,1.07,49.00%,France,morning,40,8
232-16-2483,C,Naypyitaw,Member,Food and beverages,61.9892,68.12,1,3.406,71.526,J,12:28,Ewallet,61.9892,6.1308,2.7248,10%,1.15,2.00%,France,morning,41,7
129-29-8530,A,Yangon,Member,Food and beverages,56.9842,62.62,5,15.655,328.755,O,19:15,Ewallet,284.921,28.179,12.524,10%,1.15,24.00%,France,morning,32,7
272-65-1806,A,Yangon,Normal,Electronic accessories,45.0512,60.88,9,27.396,575.316,D,17:17,Ewallet,405.4608,142.4592,115.0632,35%,1.42,13.00%,France,morning,78,5
333-73-7901,C,Naypyitaw,Normal,Health and beauty,35.698,54.92,8,21.968,461.328,D,13:24,Ewallet,285.584,153.776,131.808,54%,1.62,-1.00%,France,morning,15,8
777-82-7220,B,Mandalay,Member,Home and lifestyle,22.59,30.12,8,12.048,253.008,M,13:01,Cash,180.72,60.24,48.192,33%,1.40,48.00%,France,morning,18,8
280-35-5823,B,Mandalay,Member,Home and lifestyle,65.04,86.72,1,4.336,91.056,D,18:45,Ewallet,65.04,21.68,17.344,33%,1.40,46.00%,France,morning,33,8
554-53-8700,C,Naypyitaw,Member,Home and lifestyle,42.0825,56.11,2,5.611,117.831,F,10:11,Cash,84.165,28.055,22.444,33%,1.40,9.00%,France,morning,37,6
354-25-5821,B,Mandalay,Member,Food and beverages,62.8992,69.12,6,20.736,435.456,A,13:03,Cash,377.3952,37.3248,16.5888,10%,1.15,1.00%,France,morning,32,6
228-96-1411,C,Naypyitaw,Member,Food and beverages,89.817,98.7,8,39.48,829.08,A,20:39,Cash,718.536,71.064,31.584,10%,1.15,24.00%,France,morning,26,8
617-15-4209,C,Naypyitaw,Member,Health and beauty,10.9127,15.37,2,1.537,32.277,D,19:47,Cash,21.8254,8.9146,7.3776,41%,1.48,18.00%,France,morning,30,7
132-32-9879,B,Mandalay,Member,Electronic accessories,67.6512,93.96,4,18.792,394.632,S,18:00,Cash,270.6048,105.2352,86.4432,39%,1.46,10.00%,France,morning,41,10
370-41-7321,B,Mandalay,Member,Health and beauty,30.6126,56.69,9,25.5105,535.7205,D,17:24,Credit card,275.5134,234.6966,209.1861,85%,1.94,-5.00%,United Kingdom,morning,35,8
727-46-3608,B,Mandalay,Member,Food and beverages,18.009,20.01,9,9.0045,189.0945,J,15:47,Ewallet,162.081,18.009,9.0045,11%,1.17,17.00%,United Kingdom,morning,74,4
669-54-1719,B,Mandalay,Member,Electronic accessories,15.5226,18.93,6,5.679,119.259,O,12:45,Credit card,93.1356,20.4444,14.7654,22%,1.28,10.00%,United Kingdom,morning,39,8
574-22-5561,C,Naypyitaw,Member,Fashion accessories,46.2728,82.63,10,41.315,867.615,D,17:08,Ewallet,462.728,363.572,322.257,79%,1.88,-5.00%,United Kingdom,morning,39,8
326-78-5178,C,Naypyitaw,Member,Food and beverages,87.744,91.4,7,31.99,671.79,M,10:19,Cash,614.208,25.592,-6.398,4%,1.09,8.00%,United Kingdom,morning,47,10
162-48-8011,A,Yangon,Member,Food and beverages,38.3474,44.59,5,11.1475,234.0975,O,15:10,Cash,191.737,31.213,20.0655,16%,1.22,-2.00%,United Kingdom,morning,54,9
616-24-2851,B,Mandalay,Member,Fashion accessories,9.2924,17.87,4,3.574,75.054,D,14:42,Ewallet,37.1696,34.3104,30.7364,92%,2.02,28.00%,United Kingdom,morning,39,7
778-71-5554,C,Naypyitaw,Member,Fashion accessories,8.7951,15.43,1,0.7715,16.2015,D,15:46,Credit card,8.7951,6.6349,5.8634,75%,1.84,-4.00%,United Kingdom,morning,38,6
242-55-6721,B,Mandalay,Normal,Home and lifestyle,14.2208,16.16,2,1.616,33.936,J,11:49,Ewallet,28.4416,3.8784,2.2624,14%,1.19,-1.00%,United Kingdom,morning,15,7
399-46-5918,C,Naypyitaw,Normal,Electronic accessories,68.784,85.98,8,34.392,722.232,D,19:01,Cash,550.272,137.568,103.176,25%,1.31,46.00%,United Kingdom,morning,35,8
106-35-6779,A,Yangon,Member,Home and lifestyle,33.6984,44.34,2,4.434,93.114,D,11:26,Cash,67.3968,21.2832,16.8492,32%,1.38,50.00%,United Kingdom,morning,43,6
635-40-6220,A,Yangon,Normal,Health and beauty,68.992,89.6,8,35.84,752.64,J,11:28,Ewallet,551.936,164.864,129.024,30%,1.36,40.00%,United Kingdom,morning,49,7
817-48-8732,A,Yangon,Member,Home and lifestyle,68.009,72.35,10,36.175,759.675,D,15:55,Cash,680.09,43.41,7.235,6%,1.12,47.00%,United Kingdom,morning,27,5
120-06-4233,C,Naypyitaw,Normal,Electronic accessories,21.7331,30.61,6,9.183,192.843,D,20:36,Cash,130.3986,53.2614,44.0784,41%,1.48,18.00%,United Kingdom,morning,17,9
285-68-5083,C,Naypyitaw,Member,Food and beverages,22.5134,24.74,3,3.711,77.931,D,17:47,Credit card,67.5402,6.6798,2.9688,10%,1.15,40.00%,United Kingdom,morning,17,10
803-83-5989,C,Naypyitaw,Normal,Home and lifestyle,48.4851,55.73,6,16.719,351.099,D,10:55,Ewallet,290.9106,43.4694,26.7504,15%,1.21,32.00%,United Kingdom,morning,16,7
347-34-2234,B,Mandalay,Member,Food and beverages,50.1137,55.07,9,24.7815,520.4115,M,13:40,Ewallet,451.0233,44.6067,19.8252,10%,1.15,9.00%,United Kingdom,morning,52,10
199-75-8169,A,Yangon,Member,Food and beverages,14.3871,15.81,10,7.905,166.005,J,12:27,Credit card,143.871,14.229,6.324,10%,1.15,18.00%,United Kingdom,morning,51,9
853-23-2453,B,Mandalay,Member,Health and beauty,57.5624,75.74,4,15.148,318.108,D,14:35,Cash,230.2496,72.7104,57.5624,32%,1.38,8.00%,United Kingdom,morning,16,8
877-22-3308,A,Yangon,Member,Health and beauty,9.0459,15.87,10,7.935,166.635,D,16:40,Cash,90.459,68.241,60.306,75%,1.84,-2.00%,United Kingdom,morning,52,6
838-78-4295,C,Naypyitaw,Normal,Health and beauty,23.429,33.47,2,3.347,70.287,O,15:43,Ewallet,46.858,20.082,16.735,43%,1.50,-4.00%,United Kingdom,morning,24,7
109-28-2512,B,Mandalay,Member,Fashion accessories,52.7094,97.61,6,29.283,614.943,J,15:01,Ewallet,316.2564,269.4036,240.1206,85%,1.94,10.00%,United Kingdom,morning,31,10
232-11-3025,A,Yangon,Normal,Food and beverages,71.6807,78.77,10,39.385,827.085,D,10:04,Cash,716.807,70.893,31.508,10%,1.15,1.00%,United Kingdom,morning,53,6
382-03-4532,A,Yangon,Member,Health and beauty,8.4318,18.33,1,0.9165,19.2465,F,18:50,Cash,8.4318,9.8982,8.9817,117%,2.28,45.00%,United Kingdom,morning,52,4
393-65-2792,C,Naypyitaw,Normal,Food and beverages,82.3216,89.48,10,44.74,939.54,J,12:46,Credit card,823.216,71.584,26.844,9%,1.14,28.00%,United Kingdom,morning,35,10
796-12-2025,C,Naypyitaw,Normal,Fashion accessories,31.6812,62.12,10,31.06,652.26,N,16:19,Cash,316.812,304.388,273.328,96%,2.06,37.00%,United Kingdom,morning,53,6
510-95-6347,B,Mandalay,Member,Food and beverages,42.2124,48.52,3,7.278,152.838,M,18:17,Ewallet,126.6372,18.9228,11.6448,15%,1.21,13.00%,United Kingdom,morning,45,4
841-35-6630,C,Naypyitaw,Normal,Electronic accessories,63.0053,75.91,6,22.773,478.233,S,18:21,Cash,378.0318,77.4282,54.6552,20%,1.27,39.00%,United Kingdom,morning,44,9
287-21-9091,A,Yangon,Normal,Home and lifestyle,66.4563,74.67,9,33.6015,705.6315,D,10:55,Ewallet,598.1067,73.9233,40.3218,12%,1.18,9.00%,United Kingdom,morning,31,9
732-94-0499,C,Naypyitaw,Normal,Electronic accessories,32.0705,41.65,10,20.825,437.325,D,17:04,Credit card,320.705,95.795,74.97,30%,1.36,-1.00%,United Kingdom,morning,55,5
263-10-3913,C,Naypyitaw,Member,Fashion accessories,25.0104,49.04,9,22.068,463.428,S,14:20,Credit card,225.0936,216.2664,194.1984,96%,2.06,20.00%,United Kingdom,morning,32,9
381-20-0914,A,Yangon,Member,Fashion accessories,11.2056,20.01,9,9.0045,189.0945,D,15:48,Credit card,100.8504,79.2396,70.2351,79%,1.88,-2.00%,United Kingdom,morning,31,6
829-49-1914,C,Naypyitaw,Member,Food and beverages,76.7438,78.31,10,39.155,822.255,M,16:24,Ewallet,767.438,15.662,-23.493,2%,1.07,12.00%,United Kingdom,morning,36,7
756-01-7507,C,Naypyitaw,Normal,Health and beauty,11.6166,20.38,5,5.095,106.995,D,18:56,Cash,58.083,43.817,38.722,75%,1.84,2.00%,United Kingdom,morning,34,6
870-72-4431,C,Naypyitaw,Normal,Health and beauty,73.4006,99.19,6,29.757,624.897,D,14:42,Credit card,440.4036,154.7364,124.9794,35%,1.42,38.00%,United Kingdom,morning,41,6
847-38-7188,B,Mandalay,Normal,Food and beverages,101.514,96.68,3,14.502,304.542,D,19:56,Ewallet,304.542,-14.502,-29.004,-5%,1.00,17.00%,United Kingdom,morning,33,6
480-63-2856,C,Naypyitaw,Normal,Food and beverages,19.25,19.25,8,7.7,161.7,D,18:37,Ewallet,154,0,-7.7,0%,1.05,4.00%,United Kingdom,morning,46,7
787-56-0757,C,Naypyitaw,Member,Food and beverages,72.324,80.36,4,16.072,337.512,D,18:45,Credit card,289.296,32.144,16.072,11%,1.17,14.00%,United Kingdom,morning,24,8
360-39-5055,C,Naypyitaw,Member,Food and beverages,44.5081,48.91,5,12.2275,256.7775,S,10:17,Cash,222.5405,22.0095,9.782,10%,1.15,33.00%,United Kingdom,morning,25,7
730-50-9884,C,Naypyitaw,Normal,Food and beverages,75.5846,83.06,7,29.071,610.491,M,14:31,Ewallet,529.0922,52.3278,23.2568,10%,1.15,-1.00%,United Kingdom,morning,61,4
362-58-8315,C,Naypyitaw,Normal,Fashion accessories,38.26,76.52,5,19.13,401.73,D,10:23,Cash,191.3,191.3,172.17,100%,2.10,28.00%,United Kingdom,morning,36,10
633-44-8566,A,Yangon,Member,Food and beverages,44.9358,49.38,7,17.283,362.943,D,20:35,Credit card,314.5506,31.1094,13.8264,10%,1.15,1.00%,United Kingdom,morning,31,7
504-35-8843,A,Yangon,Normal,Food and beverages,38.6477,42.47,1,2.1235,44.5935,D,16:57,Cash,38.6477,3.8223,1.6988,10%,1.15,20.00%,United Kingdom,morning,24,6
318-68-5053,B,Mandalay,Normal,Health and beauty,45.4241,76.99,6,23.097,485.037,D,17:55,Cash,272.5446,189.3954,166.2984,69%,1.78,13.00%,United Kingdom,morning,38,6
565-80-5980,C,Naypyitaw,Member,Home and lifestyle,43.5896,47.38,4,9.476,198.996,D,10:25,Cash,174.3584,15.1616,5.6856,9%,1.14,13.00%,United Kingdom,morning,49,7
225-32-0908,C,Naypyitaw,Normal,Food and beverages,40.8226,44.86,10,22.43,471.03,D,19:54,Ewallet,408.226,40.374,17.944,10%,1.15,-1.00%,United Kingdom,morning,34,8
873-51-0671,A,Yangon,Member,Food and beverages,20.0018,21.98,7,7.693,161.553,O,16:42,Ewallet,140.0126,13.8474,6.1544,10%,1.15,37.00%,United Kingdom,morning,46,5
152-08-9985,B,Mandalay,Member,Health and beauty,46.3392,64.36,9,28.962,608.202,D,12:09,Credit card,417.0528,162.1872,133.2252,39%,1.46,39.00%,United Kingdom,morning,46,9
512-91-0811,C,Naypyitaw,Normal,Health and beauty,43.9775,89.75,1,4.4875,94.2375,J,20:05,Credit card,43.9775,45.7725,41.285,104%,2.14,9.00%,United Kingdom,morning,47,7
594-34-4444,A,Yangon,Normal,Electronic accessories,67.0404,97.16,1,4.858,102.018,A,20:38,Ewallet,67.0404,30.1196,25.2616,45%,1.52,15.00%,United Kingdom,morning,42,7
766-85-7061,B,Mandalay,Normal,Health and beauty,47.4498,87.87,10,43.935,922.635,D,10:25,Ewallet,474.498,404.202,360.267,85%,1.94,19.00%,United Kingdom,morning,49,5
871-39-9221,C,Naypyitaw,Normal,Electronic accessories,10.956,12.45,6,3.735,78.435,S,13:11,Cash,65.736,8.964,5.229,14%,1.19,22.00%,United Kingdom,morning,45,4
865-92-6136,A,Yangon,Normal,Food and beverages,47.475,52.75,3,7.9125,166.1625,D,10:16,Ewallet,142.425,15.825,7.9125,11%,1.17,33.00%,United Kingdom,morning,23,9
733-01-9107,B,Mandalay,Normal,Home and lifestyle,63.679,82.7,6,24.81,521.01,M,18:14,Cash,382.074,114.126,89.316,30%,1.36,11.00%,United Kingdom,morning,30,7
163-56-7055,C,Naypyitaw,Member,Fashion accessories,25.8163,48.71,1,2.4355,51.1455,D,19:20,Cash,25.8163,22.8937,20.4582,89%,1.98,41.00%,United Kingdom,morning,66,4
189-98-2939,C,Naypyitaw,Normal,Fashion accessories,41.6315,78.55,9,35.3475,742.2975,J,13:22,Cash,374.6835,332.2665,296.919,89%,1.98,2.00%,United Kingdom,morning,25,7
551-21-3069,C,Naypyitaw,Normal,Electronic accessories,20.3016,23.07,9,10.3815,218.0115,J,11:27,Cash,182.7144,24.9156,14.5341,14%,1.19,47.00%,United Kingdom,morning,59,5
212-62-1842,A,Yangon,Normal,Food and beverages,48.3558,58.26,6,17.478,367.038,D,16:44,Cash,290.1348,59.4252,41.9472,20%,1.27,20.00%,United Kingdom,morning,24,10
716-39-1409,B,Mandalay,Normal,Health and beauty,16.0855,30.35,7,10.6225,223.0725,D,18:19,Cash,112.5985,99.8515,89.229,89%,1.98,28.00%,United Kingdom,morning,40,8
704-48-3927,A,Yangon,Member,Electronic accessories,59.4089,88.67,10,44.335,931.035,D,14:50,Ewallet,594.089,292.611,248.276,49%,1.57,47.00%,United Kingdom,morning,30,7
628-34-3388,C,Naypyitaw,Normal,Fashion accessories,14.5114,27.38,6,8.214,172.494,M,20:54,Credit card,87.0684,77.2116,68.9976,89%,1.98,47.00%,United Kingdom,morning,39,8
630-74-5166,A,Yangon,Normal,Food and beverages,56.5383,62.13,6,18.639,391.419,D,20:19,Cash,339.2298,33.5502,14.9112,10%,1.15,10.00%,United Kingdom,morning,23,7
588-01-7461,C,Naypyitaw,Normal,Food and beverages,28.5432,33.98,9,15.291,321.111,D,10:43,Cash,256.8888,48.9312,33.6402,19%,1.25,1.00%,United Kingdom,morning,82,4
861-77-0145,C,Naypyitaw,Member,Electronic accessories,66.3957,81.97,10,40.985,860.685,M,14:30,Cash,663.957,155.743,114.758,23%,1.30,14.00%,United Kingdom,morning,46,9
479-26-8945,B,Mandalay,Member,Sports and travel,3.4629,16.49,2,1.649,34.629,M,11:32,Ewallet,6.9258,26.0542,24.4052,376%,5.00,-3.00%,United Kingdom,morning,75,5
210-67-5886,C,Naypyitaw,Member,Health and beauty,62.8544,98.21,3,14.7315,309.3615,M,10:41,Credit card,188.5632,106.0668,91.3353,56%,1.64,-5.00%,United Kingdom,morning,37,8
227-78-1148,B,Mandalay,Normal,Fashion accessories,41.5188,72.84,7,25.494,535.374,D,12:44,Cash,290.6316,219.2484,193.7544,75%,1.84,29.00%,United Kingdom,morning,29,8
645-44-1170,A,Yangon,Member,Home and lifestyle,52.8437,58.07,9,26.1315,548.7615,D,20:07,Ewallet,475.5933,47.0367,20.9052,10%,1.15,19.00%,United Kingdom,morning,62,4
237-01-6122,C,Naypyitaw,Member,Home and lifestyle,61.4004,80.79,9,36.3555,763.4655,J,20:31,Credit card,552.6036,174.5064,138.1509,32%,1.38,21.00%,United Kingdom,morning,40,10
225-98-1496,C,Naypyitaw,Normal,Fashion accessories,15.9418,27.02,3,4.053,85.113,F,13:01,Credit card,47.8254,33.2346,29.1816,69%,1.78,17.00%,United Kingdom,morning,34,7
291-32-1427,B,Mandalay,Member,Fashion accessories,12.2864,21.94,5,5.485,115.185,M,12:29,Ewallet,61.432,48.268,42.783,79%,1.88,44.00%,United Kingdom,morning,55,5
659-65-8956,B,Mandalay,Member,Fashion accessories,29.2752,51.36,1,2.568,53.928,D,15:26,Ewallet,29.2752,22.0848,19.5168,75%,1.84,50.00%,United Kingdom,morning,25,5
642-32-2990,A,Yangon,Normal,Food and beverages,10.412,10.96,10,5.48,115.08,F,20:48,Ewallet,104.12,5.48,0,5%,1.11,4.00%,United Kingdom,morning,17,6
378-24-2715,B,Mandalay,Normal,Home and lifestyle,47.0272,53.44,2,5.344,112.224,D,20:38,Ewallet,94.0544,12.8256,7.4816,14%,1.19,48.00%,United Kingdom,morning,82,4
638-60-7125,A,Yangon,Normal,Electronic accessories,68.6964,99.56,8,39.824,836.304,D,17:03,Credit card,549.5712,246.9088,207.0848,45%,1.52,40.00%,United Kingdom,morning,48,5
659-36-1684,C,Naypyitaw,Member,Sports and travel,14.8512,57.12,7,19.992,419.832,D,12:02,Credit card,103.9584,295.8816,275.8896,285%,4.04,27.00%,United Kingdom,morning,36,7
219-22-9386,B,Mandalay,Member,Sports and travel,20.9916,99.96,9,44.982,944.622,S,17:26,Credit card,188.9244,710.7156,665.7336,376%,5.00,50.00%,United Kingdom,morning,54,4
336-78-2147,C,Naypyitaw,Member,Home and lifestyle,56.8799,63.91,8,25.564,536.844,D,19:52,Credit card,455.0392,56.2408,30.6768,12%,1.18,6.00%,United Kingdom,morning,77,5
268-27-6179,B,Mandalay,Member,Fashion accessories,28.235,56.47,8,22.588,474.348,S,14:57,Ewallet,225.88,225.88,203.292,100%,2.10,43.00%,United Kingdom,morning,50,7
668-90-8900,A,Yangon,Normal,Home and lifestyle,78.6996,93.69,7,32.7915,688.6215,O,18:44,Credit card,550.8972,104.9328,72.1413,19%,1.25,18.00%,United Kingdom,morning,51,5
870-54-3162,A,Yangon,Normal,Sports and travel,9.03,32.25,5,8.0625,169.3125,D,13:26,Cash,45.15,116.1,108.0375,257%,3.75,48.00%,United Kingdom,morning,54,9
189-08-9157,C,Naypyitaw,Normal,Fashion accessories,18.7207,31.73,9,14.2785,299.8485,A,16:17,Credit card,168.4863,117.0837,102.8052,69%,1.78,10.00%,United Kingdom,morning,44,6
663-86-9076,C,Naypyitaw,Member,Food and beverages,56.8882,68.54,8,27.416,575.736,A,15:57,Ewallet,455.1056,93.2144,65.7984,20%,1.27,14.00%,United Kingdom,morning,15,9
549-84-7482,B,Mandalay,Normal,Sports and travel,24.3756,90.28,9,40.626,853.146,A,11:15,Ewallet,219.3804,593.1396,552.5136,270%,3.89,33.00%,United Kingdom,noun,40,7
191-10-6171,B,Mandalay,Normal,Fashion accessories,20.9986,39.62,7,13.867,291.207,D,13:18,Cash,146.9902,130.3498,116.4828,89%,1.98,12.00%,United Kingdom,noun,24,8
802-70-5316,A,Yangon,Member,Sports and travel,25.7964,92.13,6,27.639,580.419,J,20:34,Cash,154.7784,398.0016,370.3626,257%,3.75,10.00%,United Kingdom,noun,44,8
695-51-0018,B,Mandalay,Normal,Sports and travel,9.0584,34.84,4,6.968,146.328,O,18:36,Cash,36.2336,103.1264,96.1584,285%,4.04,23.00%,United Kingdom,noun,29,7
590-83-4591,B,Mandalay,Member,Electronic accessories,72.5835,87.45,6,26.235,550.935,D,14:40,Credit card,435.501,89.199,62.964,20%,1.27,27.00%,United Kingdom,noun,47,9
483-71-1164,C,Naypyitaw,Normal,Health and beauty,48.78,81.3,6,24.39,512.19,A,16:43,Ewallet,292.68,195.12,170.73,67%,1.75,4.00%,United Kingdom,noun,52,5
597-78-7908,C,Naypyitaw,Normal,Fashion accessories,51.4254,90.22,3,13.533,284.193,D,19:39,Cash,154.2762,116.3838,102.8508,75%,1.84,5.00%,United Kingdom,noun,18,6
700-81-1757,A,Yangon,Normal,Electronic accessories,17.8908,26.31,5,6.5775,138.1275,D,20:59,Credit card,89.454,42.096,35.5185,47%,1.54,2.00%,United Kingdom,noun,36,9
354-39-5160,A,Yangon,Member,Home and lifestyle,32.0106,34.42,6,10.326,216.846,D,15:39,Cash,192.0636,14.4564,4.1304,8%,1.13,39.00%,United Kingdom,noun,24,10
241-72-9525,B,Mandalay,Normal,Sports and travel,14.0157,51.91,10,25.955,545.055,D,12:21,Cash,140.157,378.943,352.988,270%,3.89,50.00%,United Kingdom,noun,52,8
575-30-8091,A,Yangon,Normal,Sports and travel,21.025,72.5,8,29,609,D,19:25,Ewallet,168.2,411.8,382.8,245%,3.62,22.00%,United Kingdom,noun,47,9
731-81-9469,C,Naypyitaw,Member,Sports and travel,24.246,89.8,10,44.9,942.9,D,13:00,Credit card,242.46,655.54,610.64,270%,3.89,42.00%,United Kingdom,noun,37,5
280-17-4359,C,Naypyitaw,Member,Health and beauty,59.73,90.5,10,45.25,950.25,D,13:48,Cash,597.3,307.7,262.45,52%,1.59,11.00%,United Kingdom,noun,44,8
338-65-2210,C,Naypyitaw,Member,Health and beauty,46.648,68.6,10,34.3,720.3,D,19:57,Cash,466.48,219.52,185.22,47%,1.54,23.00%,United Kingdom,noun,32,9
